Project,Link
ArviZ,https://python.arviz.org/en/stable/index.html
Conda,https://docs.conda.io/projects/conda/en/stable/index.html
GeoPandas,https://geopandas.org/en/stable/
ipyleaflet,https://ipyleaflet.readthedocs.io/en/latest/
Jupyter,https://docs.jupyter.org/en/latest/
Matplotlib,https://matplotlib.org/stable/
NetworkX,https://networkx.org/documentation/stable/
NumPy,https://numpy.org/doc/stable/
Pandas,https://pandas.pydata.org/docs/
Plone,https://6.docs.plone.org/
Seaborn,https://seaborn.pydata.org/tutorial.html
